"source_block","brand","product_line_model","source_sku_reference","category","configuration_family","configuration_raw","needle_diameter_mm","needle_diameter_raw","needle_count","needle_count_raw","taper","presentation","application","brazil_market_evidence","source_reference","variant_level","data_status","sort_category","sort_brand","sort_line","sort_configuration","sort_count","sort_diameter"
"Batoques, copos de tinta, suportes e acessórios de pigmento","ArtPig Brasil","Batoque de Silicone Premium — tamanho M","não publicado","Batoque de silicone premium","","tamanho M; diâmetro/espessura não publicados; capacidade de 1 ml","","","","","","300 unidades","Uso de pigmento com base emborrachada/ventosa; especificação confirmada por distribuidor, uso clínico/tatuagem conforme rotulagem","","[9]","família/modelo","Fonte técnica modelada","batoque de silicone premium","artpig brasil","batoque de silicone premium — tamanho m","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","ArtPig Brasil","Batoques de Silicone com Base e Ventosa — tamanho M","não publicado","Batoque de silicone; base antiderrapante","","formato circular, tamanho M; diâmetro/espessura não publicados; capacidade de 1 ml","","","","","","100 unidades (distribuidor) ou 300 unidades (distribuidor); cores publicadas incluem pink, ciano e kits de cores","Batoque para pigmento com maior estabilidade na bancada; distribuidor descreve base com ventosa, superfície lisa e uso único; esterilização e descarte devem seguir rotulagem","","[7] [8]","família/modelo","Fonte técnica modelada","batoque de silicone; base antiderrapante","artpig brasil","batoques de silicone com base e ventosa — tamanho m","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","RECTANGLE Silicone Ink Cups in a Jar","não publicado","Batoque de silicone; formato especial","","retangular; medidas não publicadas","","","","","","pote com 80 unidades","Organização e dosagem de pigmento; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque de silicone; formato especial","kwadron","rectangle silicone ink cups in a jar","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","TRIANGLE Silicone Ink Cups in a Jar","não publicado","Batoque de silicone; formato especial","","triangular; medidas não publicadas","","","","","","pote com 80 unidades","Organização e dosagem de pigmento; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque de silicone; formato especial","kwadron","triangle silicone ink cups in a jar","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar silicone cups Combat Magnum","não publicado","Batoque de silicone; formato para Magnum","Combat Magnum","formato “Combat Magnum”; medidas não publicadas","","","","","","20 unidades","Acomodar maior volume de pigmento; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque de silicone; formato para magnum","kwadron","unistar silicone cups combat magnum","060","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Modular ink cups","não publicado","Batoque modular","","módulos combináveis; medidas não publicadas","","","","","","100 unidades","Combinar e organizar copos na bancada; a própria página descreve flexibilidade de arranjo","","[1]","família/modelo","Fonte técnica modelada","batoque modular","kwadron","modular ink cups","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Unistar Plastic Ink Cups Muse","não publicado","Batoque plástico; linha Unistar/Muse","","circular; 16 mm","","","","","","160 unidades","Dosagem de pigmento; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","batoque plástico; linha unistar/muse","kwadron","unistar plastic ink cups muse","999","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Silicone cups for the stand","6661","Batoque reutilizável/descartável de silicone para suporte","","circular; 13 mm","","","","","","100 unidades","Uso em suporte compatível; uso usual, confirmar com fabricante","","[2]","família/modelo","Fonte técnica modelada","batoque reutilizável/descartável de silicone para suporte","kwadron","silicone cups for the stand","999","999","00099"
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hustle Butter","Deluxe Tattoo Balm — 1 fl oz","não publicado","Butter/lubrificante de processo","","balm em pote","","","","","","1 fl oz; unidade/tubo ou opções de 3 tubs, case 48 e meia case 24 publicadas na página","Uso durante a sessão como glide; aplicar pequena quantidade e reaplicar conforme necessário. Também publicado para healing e cuidado diário","Presença comercial brasileira não confirmada nesta pesquisa; especificação confirmada pelo fabricante","Hustle Butter — 1 fl oz","família/modelo","Referência técnica — validar Brasil/SKU","butter/lubrificante de processo","hustle butter","deluxe tattoo balm — 1 fl oz","999","999","00099"
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hustle Butter","Deluxe Tattoo Balm — 5 fl oz","não publicado","Butter/lubrificante de processo","","balm em pote","","","","","","5 fl oz; 1 tub, 3 tubs, case 24","Uso durante a sessão como glide; fórmula sem petróleo, vegana, sem parabenos e ftalatos; não interfere no stencil, segundo fabricante","Presença comercial brasileira não confirmada nesta pesquisa; especificação confirmada pelo fabricante","Hustle Butter — 5 fl oz","família/modelo","Referência técnica — validar Brasil/SKU","butter/lubrificante de processo","hustle butter","deluxe tattoo balm — 5 fl oz","999","999","00099"
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hustle Butter","Deluxe Tattoo Balm Packettes","não publicado","Butter/lubrificante de processo","","sachê/packette individual","","","","","","0,25 fl oz por sachê, conforme distribuidor reconhecido; caixas/quantidades totais não confirmadas na página do fabricante consultada","Uso usual em bancada e atendimento individual; confirmar com fabricante quanto à apresentação exata por caixa","Presença comercial brasileira não confirmada; tamanho individual confirmado por distribuidor reconhecido","Eternal Tattoo Supply — Packettes","família/modelo","Referência técnica — validar Brasil/SKU","butter/lubrificante de processo","hustle butter","deluxe tattoo balm packettes","999","999","00099"
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hustle Butter","Fragrance-Free Tattoo Balm","não publicado","Butter/lubrificante de processo","Soft Edge / Curved Magnum","balm sem fragrância","","","","","","tamanhos exatos não publicados na página de categoria consultada","Uso durante a sessão e cuidados posteriores conforme linha “In-Process” do fabricante; confirmar volume/SKU antes do cadastro","Presença comercial brasileira não confirmada; existência da variação confirmada pelo fabricante","Hustle Butter — In-Process","família/modelo","Referência técnica — validar Brasil/SKU","butter/lubrificante de processo","hustle butter","fragrance-free tattoo balm","050","999","00099"
"Máquinas, grips, fontes, baterias e cabos","Bishop","RCA Cord","não publicado","Cabo de máquina","Power","cabo RCA; página oficial do Power Wand Advanced descreve cabo magnético atualizado para a versão Advanced, não uma ficha separada do RCA Cord","","comprimento não publicado","","não aplicável","não aplicável","incluído conforme kit; apresentação avulsa não confirmada","conexão de máquina com RCA; uso usual, confirmar com fabricante","cabo magnético do kit confirmado; SKU/apresentação avulsa e presença no Brasil não confirmados","Bishop Power Wand Advanced","família/modelo","Fonte técnica modelada","cabo de máquina","bishop","rca cord","090","999","00099"
"Máquinas, grips, fontes, baterias e cabos","Cheyenne","Cabo/conexão das famílias HAWK e SOL","não publicado","Cabo/conector de máquina","Soft Edge / Curved Magnum","jack macho 3,5 mm em jack cage nas HAWK e SOL com fio; Unlimited sem plug na tabela comparativa","","comprimento não publicado","","não aplicável","não aplicável","integrado/compatível com a máquina; cabo avulso não publicado","conexão de fonte para HAWK/SOL com fio; confirmar pinagem e cabo de reposição","especificação de conector confirmada; presença comercial de cabo avulso no Brasil não confirmada","Cheyenne comparison","família/modelo","Pendente de validação de SKU","cabo/conector de máquina","cheyenne","cabo/conexão das famílias hawk e sol","050","999","00099"
"Batoques, copos de tinta, suportes e acessórios de pigmento","Kwadron","Carton box for inkcups","não publicado","Caixa de papelão para batoques","","caixa; dimensões não publicadas","","","","","","1 unidade","Organização/armazenamento; uso usual, confirmar com fabricante","","[1]","família/modelo","Fonte técnica modelada","caixa de papelão para batoques","kwadron","carton box for inkcups","999","999","00099"
"Cartuchos Kwadron","Kwadron","Cartridge System — Bugpin","não publicado","Cartucho / bugpin","RL / Liner","Bugpin RL, Bugpin Curved Mag e Bugpin Mag","","0,25 mm (#8) ou 0,30 mm (#10) nas ofertas consultadas","","variável","Long","caixa","","","[1] [3]","família/modelo","Fonte técnica modelada","cartucho / bugpin","kwadron","cartridge system — bugpin","010","999","00099"
"Cartuchos Kwadron","Kwadron","Cartridge System — Curved Magnum","não publicado","Cartucho / CM","","variantes de 5 a 49 pontas aparecem no distribuidor; registrar somente SKU individual","0.35","0,25 / 0,30 / 0,35 mm","","variável; 5–49 no filtro do distribuidor, não como tabela oficial completa","Long ou Medium","caixa; Ultimate informa 20 unidades e 16 unidades para tamanhos 39 e 49","","","[1] [4]","família/modelo","Fonte técnica modelada","cartucho / cm","kwadron","cartridge system — curved magnum","999","999","00.35"
"Cartuchos Kwadron","Kwadron","Cartridge System — Whip Shading","não publicado","Cartucho / liner texturizado","","5RLLTx3 (código publicado literalmente)","0.30","0,30 mm","","5","não publicado no título consultado","1 pc; a loja oficial também possui BOX","","","[2]","família/modelo","Fonte técnica modelada","cartucho / liner texturizado","kwadron","cartridge system — whip shading","999","999","000.3"
"Cartuchos Kwadron","Kwadron","Cartridge System — Sublime","não publicado","Cartucho / linha Sublime","Soft Edge / Curved Magnum","Sublime Curved Mag, Sublime Mag e Sublime Bugpin Mag; 5/9/15 SEMLT e outras variantes são listadas em páginas de produto","0.35","0,25 / 0,30 / 0,35 mm, conforme variante","","variável","Long","1 pc e BOX","","","[2] [3]","família/modelo","Fonte técnica modelada","cartucho / linha sublime","kwadron","cartridge system — sublime","050","999","00.35"
"Cartuchos Kwadron","Kwadron","Cartridge System — Magnum","não publicado","Cartucho / M1","","5M1, 7M1, 9M1, 11M1, 13M1, 15M1 etc. somente conforme variante publicada","","0,30 mm (#10) ou 0,35 mm (#12)","","variável","Long ou Medium","1 pc e BOX","","","[1] [4]","família/modelo","Fonte técnica modelada","cartucho / m1","kwadron","cartridge system — magnum","999","999","00099"
"Cartuchos Kwadron","Kwadron","Cartridge System — Soft Edge Magnum (SEM)","não publicado","Cartucho / magnum curva","","5SEMLT, 9SEMLT, 15SEMLT são referências publicadas; não completar demais combinações","0.35","0,30 ou 0,35 mm","","5, 9, 15 nas referências localizadas","Long","1 pc e BOX","","","[2] [5]","família/modelo","Fonte técnica modelada","cartucho / magnum curva","kwadron","cartridge system — soft edge magnum (sem)","999","999","00.35"
"Cartuchos Kwadron","Kwadron","Cartridge System — Combat Magnum","não publicado","Cartucho / magnum especial","","Combat Mag Shaders; a variante 10 aparece em distribuidor","0.30","0,30 mm (#10)","","não publicado na página resumida","Long","caixa; SKU e quantidade não publicados na página consultada","","","[1] [2]","família/modelo","Fonte técnica modelada","cartucho / magnum especial","kwadron","cartridge system — combat magnum","999","999","000.3"
"Cartuchos Kwadron","Kwadron","Cartridge System — Round Liner","KC-35-3RLLT","Cartucho / RL","","3RL, circular","0.35","0,35 mm (#12)","","3","Long","Caixa; distribuidor TATSoul publica a variante","","","[1]","família/modelo","Fonte técnica modelada","cartucho / rl","kwadron","cartridge system — round liner","999","999","00.35"
"Cartuchos Kwadron","Kwadron","Cartridge System — Round Liner","não publicado na página oficial consultada","Cartucho / RL","","1RL, 3RL, 5RL etc.; cadastrar apenas combinações exibidas no SKU/embalagem","0.35","0,25 / 0,30 / 0,35 mm quando publicados","","variável","Long ou Medium","1 pc e BOX aparecem no catálogo oficial","","","[2] [3]","família/modelo","Fonte técnica modelada","cartucho / rl","kwadron","cartridge system — round liner","999","999","00.35"
"Cartuchos Kwadron","Kwadron","Hybrid System — Round Liner","não publicado","Cartucho / RL Hybrid","RL / Liner","Hybrid Round Liner; página oficial publica ao menos 0,30 mm","0.30","0,30 mm publicado; demais diâmetros não publicados nesta consulta","","não publicado","não publicado","1 pc; BOX existe como subcategoria oficial","","","[2] [6]","família/modelo","Fonte técnica modelada","cartucho / rl hybrid","kwadron","hybrid system — round liner","010","999","000.3"
"Cartuchos Kwadron","Kwadron","Cartridge System — Textured","não publicado","Cartucho / RL ou shader texturizado","RL / Liner","Textured Round Liner; distribuidor reconhecido lista 5 variantes","0.35","não publicado por SKU na página resumida; filtros gerais: 0,25/0,30/0,35 mm","","variável","Long","caixa","","","[1] [3]","família/modelo","Fonte técnica modelada","cartucho / rl ou shader texturizado","kwadron","cartridge system — textured","010","999","00.35"
"Cartuchos Kwadron","Kwadron","Cartridge System — Round Shader","não publicado","Cartucho / RS","","3RS; outras quantidades somente quando constarem do SKU","","0,30 mm (#10) ou 0,35 mm (#12), conforme variante publicada","","variável","Long ou Medium","1 pc e BOX","","","[2] [4]","família/modelo","Fonte técnica modelada","cartucho / rs","kwadron","cartridge system — round shader","999","999","00099"
"Cartuchos Kwadron","Kwadron","Hybrid System — Round Shader","não publicado","Cartucho / RS Hybrid","RS / Shader","Hybrid Round Shader","0.35","0,30 e 0,35 mm têm páginas oficiais localizadas","","não publicado","não publicado","1 pc; BOX existe como subcategoria oficial","","","[2] [7]","família/modelo","Fonte técnica modelada","cartucho / rs hybrid","kwadron","hybrid system — round shader","020","999","00.35"
"Cartuchos Cheyenne","Cheyenne","Capillary — Magnum Soft Edge / Curved","não publicado","Cartucho com reservatório capilar; curved magnum","Soft Edge / Curved Magnum","Magnum Soft Edge 0,35 mm aparece como produto; a listagem comercial mostra 5 variantes, sem autorizar inferir todas as combinações","0.35","0,35 mm confirmado para o produto consultado","","não publicado na página extraída","não publicado na página extraída","Caixa de 20","Preenchimento suave e transições; fabricante destaca distribuição uniforme mesmo em magnums","","[TATSoul — Capillary Soft Edge][9]; [Cheyenne Capillary][7]","família/modelo","Fonte técnica modelada","cartucho com reservatório capilar; curved magnum","cheyenne","capillary — magnum soft edge / curved","050","999","00.35"
"Cartuchos Cheyenne","Cheyenne","Capillary — Round Liner / Premium Liner","CART-672 (SKU do distribuidor; não é SKU do fabricante)","Cartucho com reservatório capilar; liner","","1RL: 0,20, 0,25, 0,30, 0,35, 0,40; 3RL: 0,25 e 0,30; 5RL: 0,25 e 0,30; 7RL: 0,25 e 0,30; 9RL: 0,30; 11RL: 0,35; 15RL: 0,30","0.40","#6 / 0,20; #8 / 0,25; #10 / 0,30; #12 / 0,35; #14 / 0,40 mm","1","1, 3, 5, 7, 9, 11, 15","Super Long Taper, 5,5 mm","Caixa estéril de 20","Linhas precisas e omnidirecionais; fabricante informa até 10× mais fluxo de tinta e distribuição uniforme","","[Cheyenne Capillary][7]; [Ultimate — Capillary RL][8]","variação extraída","Fonte técnica modelada","cartucho com reservatório capilar; liner","cheyenne","capillary — round liner / premium liner","999","001","000.4"
"Cartuchos Cheyenne","Cheyenne","Capillary — Round Liner / Premium Liner","CART-672 (SKU do distribuidor; não é SKU do fabricante)","Cartucho com reservatório capilar; liner","","1RL: 0,20, 0,25, 0,30, 0,35, 0,40; 3RL: 0,25 e 0,30; 5RL: 0,25 e 0,30; 7RL: 0,25 e 0,30; 9RL: 0,30; 11RL: 0,35; 15RL: 0,30","0.40","#6 / 0,20; #8 / 0,25; #10 / 0,30; #12 / 0,35; #14 / 0,40 mm","3","1, 3, 5, 7, 9, 11, 15","Super Long Taper, 5,5 mm","Caixa estéril de 20","Linhas precisas e omnidirecionais; fabricante informa até 10× mais fluxo de tinta e distribuição uniforme","","[Cheyenne Capillary][7]; [Ultimate — Capillary RL][8]","variação extraída","Fonte técnica modelada","cartucho com reservatório capilar; liner","cheyenne","capillary — round liner / premium liner","999","003","000.4"
"Cartuchos Cheyenne","Cheyenne","Capillary — Round Liner / Premium Liner","CART-672 (SKU do distribuidor; não é SKU do fabricante)","Cartucho com reservatório capilar; liner","","1RL: 0,20, 0,25, 0,30, 0,35, 0,40; 3RL: 0,25 e 0,30; 5RL: 0,25 e 0,30; 7RL: 0,25 e 0,30; 9RL: 0,30; 11RL: 0,35; 15RL: 0,30","0.40","#6 / 0,20; #8 / 0,25; #10 / 0,30; #12 / 0,35; #14 / 0,40 mm","5","1, 3, 5, 7, 9, 11, 15","Super Long Taper, 5,5 mm","Caixa estéril de 20","Linhas precisas e omnidirecionais; fabricante informa até 10× mais fluxo de tinta e distribuição uniforme","","[Cheyenne Capillary][7]; [Ultimate — Capillary RL][8]","variação extraída","Fonte técnica modelada","cartucho com reservatório capilar; liner","cheyenne","capillary — round liner / premium liner","999","005","000.4"
"Cartuchos Cheyenne","Cheyenne","Capillary — Round Liner / Premium Liner","CART-672 (SKU do distribuidor; não é SKU do fabricante)","Cartucho com reservatório capilar; liner","","1RL: 0,20, 0,25, 0,30, 0,35, 0,40; 3RL: 0,25 e 0,30; 5RL: 0,25 e 0,30; 7RL: 0,25 e 0,30; 9RL: 0,30; 11RL: 0,35; 15RL: 0,30","0.40","#6 / 0,20; #8 / 0,25; #10 / 0,30; #12 / 0,35; #14 / 0,40 mm","7","1, 3, 5, 7, 9, 11, 15","Super Long Taper, 5,5 mm","Caixa estéril de 20","Linhas precisas e omnidirecionais; fabricante informa até 10× mais fluxo de tinta e distribuição uniforme","","[Cheyenne Capillary][7]; [Ultimate — Capillary RL][8]","variação extraída","Fonte técnica modelada","cartucho com reservatório capilar; liner","cheyenne","capillary — round liner / premium liner","999","007","000.4"
"Cartuchos Cheyenne","Cheyenne","Capillary — Round Liner / Premium Liner","CART-672 (SKU do distribuidor; não é SKU do fabricante)","Cartucho com reservatório capilar; liner","","1RL: 0,20, 0,25, 0,30, 0,35, 0,40; 3RL: 0,25 e 0,30; 5RL: 0,25 e 0,30; 7RL: 0,25 e 0,30; 9RL: 0,30; 11RL: 0,35; 15RL: 0,30","0.40","#6 / 0,20; #8 / 0,25; #10 / 0,30; #12 / 0,35; #14 / 0,40 mm","9","1, 3, 5, 7, 9, 11, 15","Super Long Taper, 5,5 mm","Caixa estéril de 20","Linhas precisas e omnidirecionais; fabricante informa até 10× mais fluxo de tinta e distribuição uniforme","","[Cheyenne Capillary][7]; [Ultimate — Capillary RL][8]","variação extraída","Fonte técnica modelada","cartucho com reservatório capilar; liner","cheyenne","capillary — round liner / premium liner","999","009","000.4"
"Cartuchos Cheyenne","Cheyenne","Capillary — Round Liner / Premium Liner","CART-672 (SKU do distribuidor; não é SKU do fabricante)","Cartucho com reservatório capilar; liner","","1RL: 0,20, 0,25, 0,30, 0,35, 0,40; 3RL: 0,25 e 0,30; 5RL: 0,25 e 0,30; 7RL: 0,25 e 0,30; 9RL: 0,30; 11RL: 0,35; 15RL: 0,30","0.40","#6 / 0,20; #8 / 0,25; #10 / 0,30; #12 / 0,35; #14 / 0,40 mm","11","1, 3, 5, 7, 9, 11, 15","Super Long Taper, 5,5 mm","Caixa estéril de 20","Linhas precisas e omnidirecionais; fabricante informa até 10× mais fluxo de tinta e distribuição uniforme","","[Cheyenne Capillary][7]; [Ultimate — Capillary RL][8]","variação extraída","Fonte técnica modelada","cartucho com reservatório capilar; liner","cheyenne","capillary — round liner / premium liner","999","011","000.4"
