"bloco_pesquisa","marca","linha_modelo","sku_referencia","sku_ref","categoria_subcategoria","configuracao_formato","diametro_espessura","diametro_espessura_unidade","agulhas_pontas","pontas","taper","apresentacao","indicacao_de_aplicacao","indicacao_publicada_ou_uso_tecnico_conservador","indicacao_publicada_ou_cautela","presenca_comercial_no_brasil_especificacao_confirmada","presenca_no_brasil_especificacao","fonte_direta","linha_modelo_publicado","diametro","indicacao_publicada_ou_uso_conservador","diametro_espessura_agulhas_pontas_taper","apresentacao_publicada","configuracao_formato_diametro_espessura","agulhas_pontas_taper","indicacao_publicada_ou_cautela_tecnica","aplicacao_publicada_ou_indicacao_conservadora","especificacao_presenca_no_brasil","qtd_agulhas_pontas","diametro_espessura_quantidade_de_agulhas_pontas_taper","indicacao_do_fabricante_cautela","presenca_comercial_no_brasil_vs_especificacao"
"Cartuchos Cheyenne","Cheyenne","Capillary — Power Open Round Liner","não publicado","","Cartucho com reservatório capilar; power/open liner","9RL, 15RL e 21RL; #14 / 0,40 mm","0,40 mm","","9, 15, 21","","Super Long Taper, 5,5 mm","Caixa de 20","Linhas largas/encorpadas; uso usual, confirmar com fabricante","","","","","[Ultimate — Capillary RL][8]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Capillary — Magnum","não publicado","","Cartucho com reservatório capilar; magnum","Magnum; a fonte comercial consultada identifica a família, mas não expõe matriz completa de variantes","0,35 mm confirmado em listagem TATSoul para Magnum Soft Edge; demais diâmetros não publicados nesta consulta","","não publicado","","não publicado","Caixa de 20","Preenchimento; uso usual, confirmar com fabricante","","","","","[Cheyenne Capillary][7]; [TATSoul — Cheyenne][6]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Capillary — Magnum Soft Edge / Curved","não publicado","","Cartucho com reservatório capilar; curved magnum","Magnum Soft Edge 0,35 mm aparece como produto; a listagem comercial mostra 5 variantes, sem autorizar inferir todas as combinações","0,35 mm confirmado para o produto consultado","","não publicado na página extraída","","não publicado na página extraída","Caixa de 20","Preenchimento suave e transições; fabricante destaca distribuição uniforme mesmo em magnums","","","","","[TATSoul — Capillary Soft Edge][9]; [Cheyenne Capillary][7]","","","","","","","","","","","","","",""
"Cartuchos Cheyenne","Cheyenne","Capillary — Textured Liner","não publicado","","Cartucho com reservatório capilar; liner texturizado","Textured Liner 0,30 mm aparece em listagem de distribuidor","0,30 mm","","7 (listagem TATSoul)","","não publicado","Caixa de 20","Linhas com textura; uso usual, confirmar com fabricante","","","","","[TATSoul — Capillary Liner][10]; [Cheyenne Capillary][7]","","","","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","KC-35-3RLLT","","Cartucho / RL","3RL, circular","","","3","","Long","Caixa; distribuidor TATSoul publica a variante","","","","","","[1]","Cartridge System — Round Liner","0,35 mm (#12)","Linhas e contornos precisos; indicação técnica da família RL também descrita por distribuidor","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado na página oficial consultada","","Cartucho / RL","1RL, 3RL, 5RL etc.; cadastrar apenas combinações exibidas no SKU/embalagem","","","variável","","Long ou Medium","1 pc e BOX aparecem no catálogo oficial","","","","","","[2] [3]","Cartridge System — Round Liner","0,25 / 0,30 / 0,35 mm quando publicados","Contorno/detalhe; confirmação da combinação deve ser feita pela ficha do SKU","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / RS","3RS; outras quantidades somente quando constarem do SKU","","","variável","","Long ou Medium","1 pc e BOX","","","","","","[2] [4]","Cartridge System — Round Shader","0,30 mm (#10) ou 0,35 mm (#12), conforme variante publicada","Preenchimento e sombreado; a fonte Nuclear descreve RS para preencher/sombrear após o contorno","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / liner texturizado","5RLLTx3 (código publicado literalmente)","","","5","","não publicado no título consultado","1 pc; a loja oficial também possui BOX","","","","","","[2]","Cartridge System — Whip Shading","0,30 mm","Whip shading; uso em sombreado de arrasto, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / M1","5M1, 7M1, 9M1, 11M1, 13M1, 15M1 etc. somente conforme variante publicada","","","variável","","Long ou Medium","1 pc e BOX","","","","","","[1] [4]","Cartridge System — Magnum","0,30 mm (#10) ou 0,35 mm (#12)","Sombreamento/preenchimento de áreas amplas; descrição direta da Nuclear","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / magnum curva","5SEMLT, 9SEMLT, 15SEMLT são referências publicadas; não completar demais combinações","","","5, 9, 15 nas referências localizadas","","Long","1 pc e BOX","","","","","","[2] [5]","Cartridge System — Soft Edge Magnum (SEM)","0,30 ou 0,35 mm","Transições suaves, preenchimento e sombreado; a família é apresentada pela marca como Soft Edge Magnum","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / CM","variantes de 5 a 49 pontas aparecem no distribuidor; registrar somente SKU individual","","","variável; 5–49 no filtro do distribuidor, não como tabela oficial completa","","Long ou Medium","caixa; Ultimate informa 20 unidades e 16 unidades para tamanhos 39 e 49","","","","","","[1] [4]","Cartridge System — Curved Magnum","0,25 / 0,30 / 0,35 mm","Haze, degradê, realismo e fundos suaves; descrição direta da Nuclear","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / magnum especial","Combat Mag Shaders; a variante 10 aparece em distribuidor","","","não publicado na página resumida","","Long","caixa; SKU e quantidade não publicados na página consultada","","","","","","[1] [2]","Cartridge System — Combat Magnum","0,30 mm (#10)","uso usual para preenchimento/sombreado, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / linha Sublime","Sublime Curved Mag, Sublime Mag e Sublime Bugpin Mag; 5/9/15 SEMLT e outras variantes são listadas em páginas de produto","","","variável","","Long","1 pc e BOX","","","","","","[2] [3]","Cartridge System — Sublime","0,25 / 0,30 / 0,35 mm, conforme variante","aplicação depende da configuração RL/RS/M/SEM; não presumir equivalência entre Sublime e Standard","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / bugpin","Bugpin RL, Bugpin Curved Mag e Bugpin Mag","","","variável","","Long","caixa","","","","","","[1] [3]","Cartridge System — Bugpin","0,25 mm (#8) ou 0,30 mm (#10) nas ofertas consultadas","detalhe, gradientes e texturas finas; uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / RL ou shader texturizado","Textured Round Liner; distribuidor reconhecido lista 5 variantes","","","variável","","Long","caixa","","","","","","[1] [3]","Cartridge System — Textured","não publicado por SKU na página resumida; filtros gerais: 0,25/0,30/0,35 mm","textura/whip shading; uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / RL Hybrid","Hybrid Round Liner; página oficial publica ao menos 0,30 mm","","","não publicado","","não publicado","1 pc; BOX existe como subcategoria oficial","","","","","","[2] [6]","Hybrid System — Round Liner","0,30 mm publicado; demais diâmetros não publicados nesta consulta","linhas precisas; a marca descreve estabilização aprimorada e carcaça plástica médica","","","","","","","","","","",""
"Cartuchos Kwadron","Kwadron","","não publicado","","Cartucho / RS Hybrid","Hybrid Round Shader","","","não publicado","","não publicado","1 pc; BOX existe como subcategoria oficial","","","","","","[2] [7]","Hybrid System — Round Shader","0,30 e 0,35 mm têm páginas oficiais localizadas","preenchimento/sombreado; confirmação da configuração do SKU é necessária","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","EZ Tattoo","Revolution Round Liner","R0C03RL (SKU exibido na página)","","Cartucho; Round Liner","RL; opções Long Taper, Medium Taper, Super Tight X-Taper, Textured Super Tight X-Taper, Pure Round Tip e Extra Long Taper","","","","3, 5, 7, 9, 11, 14; também 4, 8 e 18 em combinações exibidas","Publicado como nomes de variação; comprimento em mm não publicado nesta ficha","Caixa com 20 cartuchos; aço inoxidável 304 grau médico, ponta plástica grau médico e esterilização EO conforme ficha oficial EZ","","","","Loja oficial internacional; não confirma distribuição brasileira na ficha. Presença brasileira localizada em perfil “EZ Tattooing Brasil”, sem especificação técnica adicional confirmada","","EZ Tattoo Supply — Revolution Round Liner","","0,25 mm (#8), 0,30 mm (#10), 0,35 mm (#12), 0,40 mm (#14)","RL para linhas e detalhes; aplicação conservadora — uso usual, confirmar com fabricante para cada combinação","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","EZ Tattoo","Revolution — famílias de configuração","não publicado","","Cartucho; catálogo de agulhas","Round Liner, Round Shader, Magnum/Curved Magnum, Flat e outras variações da linha Revolution","","","","não publicado por família","não publicado","A página oficial informa mais de 100 configurações; apresentação individual depende da ficha","","","","Linha confirmada no fabricante; presença comercial brasileira não comprovada por distribuidor oficial na pesquisa","","EZ Tattoo Supply — Cartridge Needles","","não publicado por família nesta página","uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","WJX","Ultimate Professional — Round Liner","não publicado","","Cartucho; RL","Round Liner; a loja oficial publica versões 0,30 mm e 0,35 mm com taper de 5 mm","","","","Quantidade não publicada nas fichas resumidas consultadas","5 mm","Caixa de 20 quando indicado na ficha; versão RL do site WJX sem embalagem detalhada","","","","Site oficial WJX; presença brasileira indicada por WJX Brasil e revendedores, mas certificação e SKU local devem ser validados no cadastro","","WJX Tattoo — catálogo oficial","","0,30 mm e 0,35 mm","Traço/linha; uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","WJX","Ultimate Professional — Round Shader","não publicado","","Cartucho; RS","Round Shader","","","","não publicado","3,5 mm publicado para a ficha RS localizada","Caixa com 20","","","","Linha confirmada no site oficial; presença brasileira localizada em WJX Brasil","","WJX Tattoo — catálogo oficial","","0,30 mm e 0,35 mm","Sombreamento compacto; uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","WJX","Ultimate — Curved Magnum RM-2","não publicado","","Cartucho; Curved Magnum","RM-2","","","","2 (código RM-2; o número representa a configuração publicada)","3,5 mm","Caixa com 20","","","","Confirmada na loja oficial Dragonhawk; presença brasileira comercial localizada, especificação local não confirmada","","Dragonhawk Official — WJX Ultimate RM-2","","0,30 mm","Preenchimento/sombreamento; uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","WJX","Ultimate — kit misto","não publicado","","Cartucho; sortido","0403RL, 0803RL, 1003RL, 1005RL, 1203RL, 1205RL, 1207RS, 1207RM, 1209RM, 1211RM","","","","indicado pelos códigos; não converter para tabela de diâmetros sem confirmação","não publicado","Kit misto com 50 cartuchos","","","","Produto publicado pelo fabricante WJX; disponibilidade brasileira depende do importador","","WJX Tattoo — kit misto Ultimate","","parcialmente inferível pelos códigos, mas não repetir sem ficha dimensional específica","uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","Mast","Mast Pro","não publicado","","Cartucho; linhas e shaders","Round Liner, Round Shader, Magnum/Curved Magnum e Flat; catálogo oficial brasileiro confirma a linha","","","","varia por referência; não consolidar sem SKU individual","não publicado na página Mast Brasil; fichas Dragonhawk publicam 5 mm em algumas magnums","Usualmente caixa de 20 nas fichas de produto; confirmar por SKU","","","","Presença brasileira confirmada no site Mast Brasil e loja Prodigy; especificações variam por SKU","","Mast Brasil — Produtos","","não publicado na página Mast Brasil; distribuidores reconhecidos listam 0,18, 0,30 e 0,35 mm em modelos específicos","A Mast Brasil descreve aço cirúrgico 316L e fluxo contínuo; aplicação por configuração — confirmar com fabricante","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","Mast","Ocean Heart","código exibido 78987402597; configurações 1001RL e 1003RL","","Cartucho; Round Liner para fineline/PMU","RL, formato cônico fino e alongado","","","","1 e 3","5,0 mm","Caixa com 20 unidades","","","","Presença brasileira confirmada pela Mast Brasil e Prodigy Company; ficha publica registro Anvisa 81652919055","","Prodigy Company Store — Ocean Heart RL 0,30 mm","","0,30 mm na ficha; página oferece 1001RL e 1003RL","Fabricante/distribuidor descreve fineline e micropigmentação; precisão e visualização; uso conforme protocolo profissional","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","Mast","Hyperink","não publicado","","Cartucho; linha Mast","Configurações não publicadas na fonte consultada","","","","não publicado","não publicado","Caixa de 20 indicada no catálogo Dragonhawk","","","","Linha publicada na loja oficial Dragonhawk; presença brasileira não confirmada na pesquisa","","Dragonhawk Official — Mast cartridges","","não publicado","uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","Mast","Cyber","não publicado","","Cartucho; linha Mast Cyber","Configurações não publicadas na fonte consultada","","","","não publicado","não publicado","apresentação não publicada","","","","Linha publicada na loja oficial Dragonhawk; presença brasileira não confirmada","","Dragonhawk Official — Mast Cyber","","não publicado","uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","Dragonhawk","Dragonhawk Cartridges","não publicado","","Cartucho; linha própria","Catálogo oficial separa Dragonhawk Cartridges, DragonhawkLabs, Glide, Finger Ledge, Extreme e Arenahawk","","","","não publicado por família","não publicado por família","varia por SKU","","","","Linha e categorias confirmadas na loja oficial Dragonhawk; presença comercial brasileira localizada em revendedor, mas não equivale a distribuição oficial","","Dragonhawk Official — Tattoo Needles","","não publicado por família na página de categoria","uso usual, confirmar com fabricante; não atribuir aplicação sem ficha individual","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","Dragonhawk","DragonhawkLabs assorted","não publicado","","Cartucho; kit misto","1RL, 3RL, 5RL, 7RM e 9RM; a ficha de marketplace reconhecido informa 5 tamanhos × 10 unidades","","","","1, 3, 5, 7, 9 conforme códigos","não publicado","50 cartuchos (5 × 10)","","","","Produto comercializado internacionalmente; presença brasileira não confirmada por fonte oficial","","Amazon — DragonhawkLabs 50 pcs","","0,30 mm (#10) na ficha publicada","RL para contorno e RM para sombreamento; uso usual, confirmar com fabricante","","","","","","","","","","",""
"Cartuchos EZ Tattoo, WJX, Mast e Dragonhawk — mercado brasileiro","Dragonhawk","Extreme","não publicado","","Cartucho; linha própria","Categoria publicada; ficha consultada menciona Magnum 0,35 mm","","","","não publicado","não publicado","Caixa de 20 na listagem localizada","","","","Linha confirmada na loja oficial; presença brasileira não confirmada","","Dragonhawk Official — Extreme cartridges","","0,35 mm na listagem localizada","uso usual, confirmar com fabricante","","","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Electric Ink","Electric Ink — Diluente","não publicado","","Tinta para tatuagem / diluente","Líquido; cor não aplicável","","","","","","","diluição; uso usual, confirmar com fabricante","","","","","1","","","","não aplicável","volume não publicado na página da categoria","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Electric Ink","Electric Ink — Preto Linha","não publicado na página da categoria","","Tinta para tatuagem / preto","Pigmento líquido","","","","","","","traços/linhas; a página da categoria informa uso para traços, sombreados e preenchimentos","","","","","1","","","","não publicado","tamanho não publicado na página da categoria","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Electric Ink","Electric Ink — Branco Real","não publicado","","Tinta para tatuagem / branco","Pigmento","","","","","","","aplicação profissional; uso usual, confirmar com fabricante","","","","","1","","","","não publicado","tamanho não publicado","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Electric Ink","Electric Ink — Vermelho Bombeiro","não publicado","","Tinta para tatuagem / vermelho","Pigmento","","","","","","","aplicação profissional; uso usual, confirmar com fabricante","","","","","1","","","","não publicado","tamanho não publicado","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Electric Ink","Electric Ink — Vermelho Ferrari","não publicado","","Tinta para tatuagem / vermelho","Pigmento","","","","","","","aplicação profissional; uso usual, confirmar com fabricante","","","","","1","","","","não publicado","tamanho não publicado","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Electric Ink","Electric Ink — Preto Tribal","não publicado","","Tinta para tatuagem / preto","Pigmento","","","","","","","preenchimento/tribal; uso usual, confirmar com fabricante","","","","","1","","","","não publicado","tamanho não publicado","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Electric Ink","Electric Ink — Amarelo Ouro","não publicado","","Tinta para tatuagem / amarelo","Pigmento","","","","","","","aplicação profissional; uso usual, confirmar com fabricante","","","","","1","","","","não publicado","tamanho não publicado","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Electric Ink","Electric Ink — Vermelho Cereja","não publicado","","Tinta para tatuagem / vermelho","Pigmento","","","","","","","aplicação profissional; uso usual, confirmar com fabricante","","","","","1","","","","não publicado","tamanho não publicado","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Electric Ink","Electric Ink — Cinza Naval","PA02EI02113","","Tinta para tatuagem / cinza","Pigmento","","","","","","","fácil aplicação e rápida cicatrização; aplicação profissional","","","","","2","","","","não publicado","tamanho não publicado na ficha consultada","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Easy Glow (Electric Ink)","Easy Glow — Raven Black EG","não publicado na página de categoria","","Tinta para tatuagem / preto","Linha fluida; pigmento","","","","","","","linhas, sombreados e preenchimentos; fórmula fluida, aplicação suave e precisa; indicação do fabricante","","","","","3","","","","não publicado","1,5 ml; 15 ml; 30 ml; 60 ml; 120 ml; 240 ml e Sets, conforme página da linha","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Easy Glow (Electric Ink)","Easy Glow — Ghost White EG","não publicado","","Tinta para tatuagem / branco","Linha fluida; pigmento","","","","","","","aplicação suave e precisa; indicação do fabricante","","","","","3","","","","não publicado","1,5 ml; 15 ml; 30 ml; 60 ml; 120 ml; 240 ml e Sets","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Easy Glow (Electric Ink)","Easy Glow — Raven Black Fineline EG","não publicado","","Tinta para tatuagem / preto","Linha fluida; variante Fineline","","","","","","","linhas finas; uso usual, confirmar com fabricante","","","","","3","","","","não publicado","1,5 ml; 15 ml; 30 ml; 60 ml; 120 ml; 240 ml e Sets","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Easy Glow (Electric Ink)","Easy Glow — Ultra Liner Black EG","PA02EG00124","","Tinta para tatuagem / preto para linha","Linha fluida; pigmento","","","","","","","indicada para linhas; o fabricante descreve fórmula fluida, sem grandes diluições, boa cobertura e esterilização por raios gama","","","","","4","","","","não publicado","tamanho selecionável não exposto no texto extraído; a linha publica 1,5/15/30/60/120/240 ml e Sets","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Easy Glow (Electric Ink)","Easy Glow — Red EG","não publicado","","Tinta para tatuagem / vermelho","Linha fluida; pigmento","","","","","","","aplicação profissional; uso usual, confirmar com fabricante","","","","","3","","","","não publicado","1,5 ml; 15 ml; 30 ml; 60 ml; 120 ml; 240 ml e Sets","","","","","","","","",""
"Tintas nacionais — Electric Ink e Iron Works Brasil","Easy Glow (Electric Ink)","Easy Glow — Canary Yellow EG","não publicado","","Tinta para tatuagem / amarelo","Linha fluida; pigmento","","","","","","","aplicação profissional; uso usual, confirmar com fabricante","","","","","3","","","","não publicado","1,5 ml; 15 ml; 30 ml; 60 ml; 120 ml; 240 ml e Sets","","","","","","","","",""
